Cuenta;Nombre;Ramo;signo
29000115045;OTROS GASTOS DE ADMIN Y PERS NO ASIG;TOTAL;-1
29000115999;SUBTOTAL;TOTAL;1
29000116999;UTILIDAD ANTES DE IMPUESTOS;TOTAL;1
29000117999;IMPTO DE RENTA Y COMPLEMENTARIOS;TOTAL;1
29000118999;RESULTADOS DEL EJERCICIO;TOTAL;1
29000119005;DIRECTOS;TOTAL;1
29000119010;ACEPTADOS EN REASEGURO;TOTAL;1
29000119015;PARTE REASEGURO AL INTERIOR;TOTAL;1
29000119020;PARTE REASEGURO AL EXTERIOR;TOTAL;1
29000119999;RETENCION NETA DE LA COMPANIA;TOTAL;1
29000120005;POLIZAS VIGENTES AL FINAL ANO ANTERIOR;TOTAL;1
29000120010;POLIZAS EMITIDAS NUEVAS;TOTAL;1
29000120015;POLIZAS REHABILITADAS;TOTAL;1
29000120020;POLIZAS CANCELADAS Y-O VENCIDAS;TOTAL;1
29000120999;TOTAL POLIZAS VIGENTES FINAL EJERCIC;TOTAL;1
29000121005;PRIMAS CEDIDAS CONT AUTOM REASEG;TOTAL;-1
29000121010;PRIMAS CEDIDAS CONT FACUL REASEG;TOTAL;-1
29000121015;PRIMAS CEDIDAS CONTRATOS AUTOMAT REA;TOTAL;-1
29000121020;PRIMAS CEDIDAS CONTRATOS FACUL REAS;TOTAL;-1
29000121999;SUBTOTAL;TOTAL;1
29000122005;ELIMINADA;TOTAL;1
29000122010;ELIMINADA;TOTAL;1
29000122015;ELIMINADA;TOTAL;1
29000122999;ELIMINADA;TOTAL;1
29000123005;PRIMAS EMITIDAS RAMO DE TERREMOTO;TOTAL;1
29000123010;PRIM EMIT(COB)DEL TERREM INC OTROS RAMOS;TOTAL;1
29000123015;PRIMAS CEDIDAS INTER Y EXTER TERREMOTO;TOTAL;-1
29000123020;PRIM CED INT Y EXT(COB) TERR INC OTR RAM;TOTAL;-1
29000123999;TOTAL PRIMAS RETENIDAS RIESGO DE TERREM;TOTAL;1
29000124005;PRIMAS EMI POLIZA SEGUROS SUJETAS APORTE;TOTAL;1
29000124010;AJUSTES O COMP PERIODICOS ANTER (RESTA);TOTAL;-1
29000124999;SUBTOTAL BASE CAL APRTE PRONAS SEGUROS;TOTAL;1
29000201005;PRIMAS EMITIDAS DIRECTAS;SUBTOTAL - RAMOS;1
29000201010;PRIMAS ACEPTADAS EN COASEGURO;SUBTOTAL - RAMOS;1
29000201015;CANC Y-O ANULAC PRIMAS EMIT DIR Y COA;SUBTOTAL - RAMOS;-1
29000201020;ACEPTADAS REASEGURO INTERIOR;SUBTOTAL - RAMOS;1
29000201025;ACEPTADAS REASEGURO EXTERIOR;SUBTOTAL - RAMOS;1
29000201030;CANC Y-O ANULAC PRIMAS REASEG ACEP;SUBTOTAL - RAMOS;-1
29000201035;CEDIDAS REASEGURO INTERIOR;SUBTOTAL - RAMOS;-1
29000201040;CEDIDAS REASEGURO EXTERIOR;SUBTOTAL - RAMOS;-1
29000201045;CANC Y-O ANULAC PRIMAS REASEG CEDI;SUBTOTAL - RAMOS;-1
29000201050;Primas acept y/o cedidas x CamComp SOAT;SUBTOTAL - RAMOS;1
29000201999;SUBTOTAL;SUBTOTAL - RAMOS;1
29000202005;ELIMINADA;SUBTOTAL - RAMOS;1
29000202006;LIBERAC RESER TEC DE PRIMA NO DEVENGADA;SUBTOTAL - RAMOS;1
29000202007;LIBERAC RESER TEC POR INSUFICIE DE PRIMA;SUBTOTAL - RAMOS;1
29000202010;LIBERACION RESERVA MATEMATICA;SUBTOTAL - RAMOS;1
29000202015;LIBERACION RES MAT RIESGOS PROFESI;SUBTOTAL - RAMOS;1
29000202017;LIBERACION RESERVA BEEPS(RESTA);SUBTOTAL - RAMOS;1
29000202020;LIBERACION RES SEG VIDA AHORRO CON;SUBTOTAL - RAMOS;1
29000202022;LIBERAC RESER TEC DE INSUFICI DE ACTIVOS;SUBTOTAL - RAMOS;1
29000202025;ELIMINADA;SUBTOTAL - RAMOS;1
29000202026;CONSTI RESER TEC DE PRIMA NO DEVENGADA;SUBTOTAL - RAMOS;-1
29000202027;CONSTI RESER TEC POR INSUFICIE DE PRIMA;SUBTOTAL - RAMOS;-1
29000202030;CONST RESERVA MATEMATICA;SUBTOTAL - RAMOS;-1
29000202035;CONST RES MAT RIESGOS PROFESIONALES;SUBTOTAL - RAMOS;-1
29000202037;CONSTITUCION RESERVA MATEMA BEEPS;SUBTOTAL - RAMOS;-1
29000202040;CONST RES SEG VIDA AHORRO CON PARTI;SUBTOTAL - RAMOS;-1
29000202045;CONSTITU RESER DE INSUFICIEN DE ACTIVOS;SUBTOTAL - RAMOS;-1
29000202999;SUBTOTAL;SUBTOTAL - RAMOS;1
29000203999;PRIMAS DEVENGADAS;SUBTOTAL - RAMOS;1
29000204005; LIBERACION RES MAT RIESGOS PROFESIO;SUBTOTAL - RAMOS;1
29000204007;LIBERACION RES MATEMATICA BEEPS;SUBTOTAL - RAMOS;1
29000204010; LIBERACION RES PARA SINIESTROS AVISA;SUBTOTAL - RAMOS;1
29000204015; LIBERACION RES PARA SINIESTROS NO AVIS;SUBTOTAL - RAMOS;1
29000204020; LIBERACION RES DESVIAC DE SINIESTRAL;SUBTOTAL - RAMOS;1
29000204025; LIBERACION RESERVAS ESPECIALES;SUBTOTAL - RAMOS;1
29000204026;LIBERACION RESERVA DE RIESGO CATASTROFIC;SUBTOTAL - RAMOS;1
29000204030; CONST RESERVA MATEMAT RIESG PROFES;SUBTOTAL - RAMOS;-1
29000204035; CONST RESERVA SINIESTROS AVISAD;SUBTOTAL - RAMOS;-1
29000204037;CONSTITUCION RESERVA MAT BEEPS (RESTA);SUBTOTAL - RAMOS;-1
29000204040; CONST RESERVA SINIESTROS NO AVIS;SUBTOTAL - RAMOS;-1
29000204045; CONST RESERVA DESVIAC SINIESTRALID;SUBTOTAL - RAMOS;-1
29000204050; CONST RESERVAS ESPECIALES;SUBTOTAL - RAMOS;-1
29000204051;CONST RESERVA DE RIESGO CATASTROFICO;SUBTOTAL - RAMOS;-1
29000204999; SUBTOTAL;SUBTOTAL - RAMOS;1
29000205005;SINIESTROS LIQUIDADOS;SUBTOTAL - RAMOS;-1
29000205010;SINIESTROS DE ACEP REASEG INTERIOR;SUBTOTAL - RAMOS;-1
29000205015;SINIESTROS DE ACEP CONT NO PROPORC;SUBTOTAL - RAMOS;-1
29000205020;SINIESTROS DE ACEP REASEG EXTERIOR;SUBTOTAL - RAMOS;-1
29000205025;SINIESTROS DE ACEP CONTRAT NO PROP;SUBTOTAL - RAMOS;-1
29000205999;SUBTOTAL;SUBTOTAL - RAMOS;1
29000206005;REEMB SINIESTROS SOB CESIONES REAS;SUBTOTAL - RAMOS;1
29000206010;REEMB SINIESTROS CONTR NO PROPORC;SUBTOTAL - RAMOS;1
29000206015;REEMB SINIESTROS SOB CESIONES REAS;SUBTOTAL - RAMOS;1
29000206020;REEMB SINIESTROS CONTR NO PROPORC;SUBTOTAL - RAMOS;1
29000206025;REEMB STROS GARANTIZ X LA NACION RGOS;SUBTOTAL - RAMOS;1
29000206030;REEMB POR ENFERMEDAD PROFESIONAL;SUBTOTAL - RAMOS;1
29000206999;SUBTOTAL;SUBTOTAL - RAMOS;1
29000207005; SALVAMENTOS DE ACEP REAS INTERIOR;SUBTOTAL - RAMOS;1
29000207010; SALVAMENTOS DE ACEP REAS EXTERIOR;SUBTOTAL - RAMOS;1
29000207015; SALVAMENTOS LIQUIDADOS Y REALIZADOS;SUBTOTAL - RAMOS;1
29000207020; RECOBROS;SUBTOTAL - RAMOS;1
29000207025; GTOS SALVAM PARTE REASEG INTERIOR;SUBTOTAL - RAMOS;-1
29000207030; GTOS SALVAM PARTE REASEG EXTERIOR;SUBTOTAL - RAMOS;-1
29000207999; SUBTOTAL;SUBTOTAL - RAMOS;1
29000208999;SINIESTROS CTA COMPANIA;SUBTOTAL - RAMOS;1
29000209005;COMISIONES REASEGURO CEDIDO;SUBTOTAL - RAMOS;-1
29000209010;INGRESOS EXCESO DE PERDIDA;SUBTOTAL - RAMOS;1
29000209015;PARTICIP UTILIDADES REASEG CEDIDO;SUBTOTAL - RAMOS;1
29000209020;INT Y GTOS RECONOCIDOS X REASEGUR;SUBTOTAL - RAMOS;1
29000209025;INTER RECON A REASEGURADORES;SUBTOTAL - RAMOS;-1
29000209030;PARTICIPAC UTILIDADES Y OTROS;SUBTOTAL - RAMOS;1
29000209035;COSTO EXCESO DE PERDIDA;SUBTOTAL - RAMOS;-1
29000209999;SUBTOTAL;SUBTOTAL - RAMOS;1
29000210005;OTROS PRODUCTOS DE SEGUROS;SUBTOTAL - RAMOS;1
29000210010;REMUNERACION DE ADMON DE COASEG;SUBTOTAL - RAMOS;-1
29000210015;GTOS DE ADMON COASEG ACEPTADO;SUBTOTAL - RAMOS;-1
29000210020;PROV CTAS POR COBRAR ACTIVIDAD ASEG;SUBTOTAL - RAMOS;-1
29000210025;CTOS RIESGOS PROFESIONALES;SUBTOTAL - RAMOS;-1
29000210030;CONTRIBUCIONES DE SEGUROS;SUBTOTAL - RAMOS;-1
29000210035;OTROS EGRESOS;SUBTOTAL - RAMOS;-1
29000210999;SUBTOTAL;SUBTOTAL - RAMOS;1
29000211005;ELIMINADA;SUBTOTAL - RAMOS;1
29000211010;ELIMINADA;SUBTOTAL - RAMOS;1
29000211015;GASTOS DE ADMINISTRACION DIRECTOS RAMO;SUBTOTAL - RAMOS;-1
29000211020;GASTOS DEPERSONAL DIRECTOS RAMO;SUBTOTAL - RAMOS;-1
29000211025;GASTOS DE ADM INDIREC ASIGN A CADA  RAMO;SUBTOTAL - RAMOS;-1
29000211030;GASTOS DE PERSO INDI ASIGNAB A CADA RAMO;SUBTOTAL - RAMOS;-1
29000211999;SUBTOTAL;SUBTOTAL - RAMOS;1
29000212005;REMUNERACION A FAVOR DE INTERMEDIA;SUBTOTAL - RAMOS;-1
29000212010;COMISIONES AFP;SUBTOTAL - RAMOS;-1
29000212015;ELIMINADA;SUBTOTAL - RAMOS;1
29000212020;GASTOS EN TARIFACION;SUBTOTAL - RAMOS;-1
29000212025;REMU POR USO DE RED Y A CANA DE COMERC;SUBTOTAL - RAMOS;-1
29000212030;PAPELERIA Y GASTOS DE ENTREGA;SUBTOTAL - RAMOS;-1
29000212999;SUBTOTAL;SUBTOTAL - RAMOS;1
29000213999;Ys Y-O GTOS NETOS REASEG, ADMIN Y PERSON;SUBTOTAL - RAMOS;1
29000214999;RESULTADO TECNICO;SUBTOTAL - RAMOS;1
29000215005;ELIMINADA;SUBTOTAL - RAMOS;1
29000215010;OTRAS PROVISIONES;SUBTOTAL - RAMOS;-1
29000215015;Ys Y-O EGRESOS REPORTES PROG ESPEC;SUBTOTAL - RAMOS;1
29000215020;OTROS INGRESOS Y EGRESOS;SUBTOTAL - RAMOS;1
29000215025;ING REALI DE ACT V RAZ RESP LAS RES TECN;SUBTOTAL - RAMOS;1
29000215030;ING CAUS ACT A CORT AMORT RESP RE TEC;SUBTOTAL - RAMOS;1
29000215035;ING Y EGRE PORT DE INV DIF A RESER TECNI;SUBTOTAL - RAMOS;1
29000215040;EGRE INVER DE LAS RESERNAS TECNICAS;SUBTOTAL - RAMOS;-1
29000215045;OTROS GASTOS DE ADMIN Y PERS NO ASIG;SUBTOTAL - RAMOS;-1
29000215999;SUBTOTAL;SUBTOTAL - RAMOS;1
29000216999;UTILIDAD ANTES DE IMPUESTOS;SUBTOTAL - RAMOS;1
29000217999;IMPTO DE RENTA Y COMPLEMENTARIOS;SUBTOTAL - RAMOS;1
29000218999;RESULTADOS DEL EJERCICIO;SUBTOTAL - RAMOS;1
29000219005;DIRECTOS;SUBTOTAL - RAMOS;1
29000219010;ACEPTADOS EN REASEGURO;SUBTOTAL - RAMOS;1
29000219015;PARTE REASEGURO AL INTERIOR;SUBTOTAL - RAMOS;1
29000219020;PARTE REASEGURO AL EXTERIOR;SUBTOTAL - RAMOS;1
29000219999;RETENCION NETA DE LA COMPANIA;SUBTOTAL - RAMOS;1
29000220005;POLIZAS VIGENTES AL FINAL ANO ANTERIOR;SUBTOTAL - RAMOS;1
29000220010;POLIZAS EMITIDAS NUEVAS;SUBTOTAL - RAMOS;1
29000220015;POLIZAS REHABILITADAS;SUBTOTAL - RAMOS;1
29000220020;POLIZAS CANCELADAS Y-O VENCIDAS;SUBTOTAL - RAMOS;1
29000220999;TOTAL POLIZAS VIGENTES FINAL EJERCIC;SUBTOTAL - RAMOS;1
29000221005;PRIMAS CEDIDAS CONT AUTOM REASEG;SUBTOTAL - RAMOS;-1
29000221010;PRIMAS CEDIDAS CONT FACUL REASEG;SUBTOTAL - RAMOS;-1
29000221015;PRIMAS CEDIDAS CONTRATOS AUTOMAT REA;SUBTOTAL - RAMOS;-1
29000221020;PRIMAS CEDIDAS CONTRATOS FACUL REAS;SUBTOTAL - RAMOS;-1
29000221999;SUBTOTAL;SUBTOTAL - RAMOS;1
29000222005;ELIMINADA;SUBTOTAL - RAMOS;1
29000222010;ELIMINADA;SUBTOTAL - RAMOS;1
29000222015;ELIMINADA;SUBTOTAL - RAMOS;1
29000222999;ELIMINADA;SUBTOTAL - RAMOS;1
29000223005;PRIMAS EMITIDAS RAMO DE TERREMOTO;SUBTOTAL - RAMOS;1
29000223010;PRIM EMIT(COB)DEL TERREM INC OTROS RAMOS;SUBTOTAL - RAMOS;1
29000223015;PRIMAS CEDIDAS INTER Y EXTER TERREMOTO;SUBTOTAL - RAMOS;-1
29000223020;PRIM CED INT Y EXT(COB) TERR INC OTR RAM;SUBTOTAL - RAMOS;-1
29000223999;TOTAL PRIMAS RETENIDAS RIESGO DE TERREM;SUBTOTAL - RAMOS;1
29000224005;PRIMAS EMI POLIZA SEGUROS SUJETAS APORTE;SUBTOTAL - RAMOS;1
29000224010;AJUSTES O COMP PERIODICOS ANTER (RESTA);SUBTOTAL - RAMOS;-1
29000224999;SUBTOTAL BASE CAL APRTE PRONAS SEGUROS;SUBTOTAL - RAMOS;1
29000301005;PRIMAS EMITIDAS DIRECTAS;AUTOMOVILES;1
29000301010;PRIMAS ACEPTADAS EN COASEGURO;AUTOMOVILES;1
29000301015;CANC Y-O ANULAC PRIMAS EMIT DIR Y COA;AUTOMOVILES;-1
29000301020;ACEPTADAS REASEGURO INTERIOR;AUTOMOVILES;1
29000301025;ACEPTADAS REASEGURO EXTERIOR;AUTOMOVILES;1
29000301030;CANC Y-O ANULAC PRIMAS REASEG ACEP;AUTOMOVILES;-1
29000301035;CEDIDAS REASEGURO INTERIOR;AUTOMOVILES;-1
29000301040;CEDIDAS REASEGURO EXTERIOR;AUTOMOVILES;-1
29000301045;CANC Y-O ANULAC PRIMAS REASEG CEDI;AUTOMOVILES;-1
29000301050;Primas acept y/o cedidas x CamComp SOAT;AUTOMOVILES;1
29000301999;SUBTOTAL;AUTOMOVILES;1
29000302005;ELIMINADA;AUTOMOVILES;1
29000302006;LIBERAC RESER TEC DE PRIMA NO DEVENGADA;AUTOMOVILES;1
29000302007;LIBERAC RESER TEC POR INSUFICIE DE PRIMA;AUTOMOVILES;1
29000302010;LIBERACION RESERVA MATEMATICA;AUTOMOVILES;1
29000302015;LIBERACION RES MAT RIESGOS PROFESI;AUTOMOVILES;1
29000302017;LIBERACION RESERVA BEEPS(RESTA);AUTOMOVILES;1
29000302020;LIBERACION RES SEG VIDA AHORRO CON;AUTOMOVILES;1
29000302022;LIBERAC RESER TEC DE INSUFICI DE ACTIVOS;AUTOMOVILES;1
29000302025;ELIMINADA;AUTOMOVILES;1
29000302026;CONSTI RESER TEC DE PRIMA NO DEVENGADA;AUTOMOVILES;-1
29000302027;CONSTI RESER TEC POR INSUFICIE DE PRIMA;AUTOMOVILES;-1
29000302030;CONST RESERVA MATEMATICA;AUTOMOVILES;-1
29000302035;CONST RES MAT RIESGOS PROFESIONALES;AUTOMOVILES;-1
29000302037;CONSTITUCION RESERVA MATEMA BEEPS;AUTOMOVILES;-1
29000302040;CONST RES SEG VIDA AHORRO CON PARTI;AUTOMOVILES;-1
29000302045;CONSTITU RESER DE INSUFICIEN DE ACTIVOS;AUTOMOVILES;-1
29000302999;SUBTOTAL;AUTOMOVILES;1
29000303999;PRIMAS DEVENGADAS;AUTOMOVILES;1
29000304005; LIBERACION RES MAT RIESGOS PROFESIO;AUTOMOVILES;1
29000304007;LIBERACION RES MATEMATICA BEEPS;AUTOMOVILES;1
29000304010; LIBERACION RES PARA SINIESTROS AVISA;AUTOMOVILES;1
29000304015; LIBERACION RES PARA SINIESTROS NO AVIS;AUTOMOVILES;1
29000304020; LIBERACION RES DESVIAC DE SINIESTRAL;AUTOMOVILES;1
29000304025; LIBERACION RESERVAS ESPECIALES;AUTOMOVILES;1
29000304026;LIBERACION RESERVA DE RIESGO CATASTROFIC;AUTOMOVILES;1
29000304030; CONST RESERVA MATEMAT RIESG PROFES;AUTOMOVILES;-1
29000304035; CONST RESERVA SINIESTROS AVISAD;AUTOMOVILES;-1
29000304037;CONSTITUCION RESERVA MAT BEEPS (RESTA);AUTOMOVILES;-1
29000304040; CONST RESERVA SINIESTROS NO AVIS;AUTOMOVILES;-1
29000304045; CONST RESERVA DESVIAC SINIESTRALID;AUTOMOVILES;-1
29000304050; CONST RESERVAS ESPECIALES;AUTOMOVILES;-1
29000304051;CONST RESERVA DE RIESGO CATASTROFICO;AUTOMOVILES;-1
29000304999; SUBTOTAL;AUTOMOVILES;1
29000305005;SINIESTROS LIQUIDADOS;AUTOMOVILES;-1
29000305010;SINIESTROS DE ACEP REASEG INTERIOR;AUTOMOVILES;-1
29000305015;SINIESTROS DE ACEP CONT NO PROPORC;AUTOMOVILES;-1
29000305020;SINIESTROS DE ACEP REASEG EXTERIOR;AUTOMOVILES;-1
29000305025;SINIESTROS DE ACEP CONTRAT NO PROP;AUTOMOVILES;-1
29000305999;SUBTOTAL;AUTOMOVILES;1
29000306005;REEMB SINIESTROS SOB CESIONES REAS;AUTOMOVILES;1
29000306010;REEMB SINIESTROS CONTR NO PROPORC;AUTOMOVILES;1
29000306015;REEMB SINIESTROS SOB CESIONES REAS;AUTOMOVILES;1
29000306020;REEMB SINIESTROS CONTR NO PROPORC;AUTOMOVILES;1
29000306025;REEMB STROS GARANTIZ X LA NACION RGOS;AUTOMOVILES;1
29000306030;REEMB POR ENFERMEDAD PROFESIONAL;AUTOMOVILES;1
29000306999;SUBTOTAL;AUTOMOVILES;1
29000307005; SALVAMENTOS DE ACEP REAS INTERIOR;AUTOMOVILES;1
29000307010; SALVAMENTOS DE ACEP REAS EXTERIOR;AUTOMOVILES;1
29000307015; SALVAMENTOS LIQUIDADOS Y REALIZADOS;AUTOMOVILES;1
29000307020; RECOBROS;AUTOMOVILES;1
29000307025; GTOS SALVAM PARTE REASEG INTERIOR;AUTOMOVILES;-1
29000307030; GTOS SALVAM PARTE REASEG EXTERIOR;AUTOMOVILES;-1
29000307999; SUBTOTAL;AUTOMOVILES;1
29000308999;SINIESTROS CTA COMPANIA;AUTOMOVILES;1
29000309005;COMISIONES REASEGURO CEDIDO;AUTOMOVILES;-1
29000309010;INGRESOS EXCESO DE PERDIDA;AUTOMOVILES;1
29000309015;PARTICIP UTILIDADES REASEG CEDIDO;AUTOMOVILES;1
29000309020;INT Y GTOS RECONOCIDOS X REASEGUR;AUTOMOVILES;1
29000309025;INTER RECON A REASEGURADORES;AUTOMOVILES;-1
29000309030;PARTICIPAC UTILIDADES Y OTROS;AUTOMOVILES;1
29000309035;COSTO EXCESO DE PERDIDA;AUTOMOVILES;-1
29000309999;SUBTOTAL;AUTOMOVILES;1
29000310005;OTROS PRODUCTOS DE SEGUROS;AUTOMOVILES;1
29000310010;REMUNERACION DE ADMON DE COASEG;AUTOMOVILES;-1
29000310015;GTOS DE ADMON COASEG ACEPTADO;AUTOMOVILES;-1
29000310020;PROV CTAS POR COBRAR ACTIVIDAD ASEG;AUTOMOVILES;-1
29000310025;CTOS RIESGOS PROFESIONALES;AUTOMOVILES;-1
29000310030;CONTRIBUCIONES DE SEGUROS;AUTOMOVILES;-1
29000310035;OTROS EGRESOS;AUTOMOVILES;-1
29000310999;SUBTOTAL;AUTOMOVILES;1
29000311005;ELIMINADA;AUTOMOVILES;1
29000311010;ELIMINADA;AUTOMOVILES;1
29000311015;GASTOS DE ADMINISTRACION DIRECTOS RAMO;AUTOMOVILES;-1
29000311020;GASTOS DEPERSONAL DIRECTOS RAMO;AUTOMOVILES;-1
29000311025;GASTOS DE ADM INDIREC ASIGN A CADA  RAMO;AUTOMOVILES;-1
29000311030;GASTOS DE PERSO INDI ASIGNAB A CADA RAMO;AUTOMOVILES;-1
