"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31"
"29000102037";"CONSTITUCION RESERVA MATEMA BEEPS";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102040";"CONST RES SEG VIDA AHORRO CON PARTI";"TOTAL";-574324;-574324;-574324;-574324;-574324;-574324;-574324;-574324;-574324;-574324;-574324;-574324;0;0;0;0;0;0;0;0;0;0;0;0
"29000102045";"CONSTITU RESER DE INSUFICIEN DE ACTIVOS";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102999";"SUBTOTAL";"TOTAL";-1961618945;-6185144874;-11387752475;-15767717453;-20089496027;-22076626217;-25940449960;-30702961798;-36846386687;-40431840892;-42506291745;-42982392344;-3889205153;-10781350097;-16253388000;-17924230120;-21524159416;-23868308989;-23757251125;-27273116775;-29919217787;-31324920734;-32945565021;-33663539805
"29000103999";"PRIMAS DEVENGADAS";"TOTAL";21524026263;44469533641;67941057313;91427649441;115835295273;145636295235;169811683755;195407144647;221443991506;250599771618;281143018482;314078412361;23287047342;46904641585;73778357536;101766150610;132100507384;167707822527;198351237383;230269716520;264456480067;299260334907;334472777035;358346610066
"29000104005";" LIBERACION RES MAT RIESGOS PROFESIO";"TOTAL";0;0;0;0;0;0;0;0;0;0;9864904;9864904;0;0;0;0;0;0;0;0;0;0;0;0
"29000104007";"LIBERACION RES MATEMATICA BEEPS";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000104010";" LIBERACION RES PARA SINIESTROS AVISA";"TOTAL";6825183334;14381885412;45400496846;48132934342;51645043867;56144374778;59006241919;60337113021;62227811112;63984598856;64946569688;38582104746;15772326928;19883107461;25147483685;27460382425;31933043949;34936504815;37941354017;40344561742;46023188188;49834246591;51787951723;53344214371
"29000104015";" LIBERACION RES PARA SINIESTROS NO AVIS";"TOTAL";360083007;433541239;636319116;2925161884;3024905172;3343486354;3641193476;3915120102;4638696580;4724265657;6903024298;6755681603;205286741;1188151397;3003179140;3383682522;3810120615;4322859601;5136411736;5598283187;6252713060;7089380625;7486262978;7907453785
"29000104020";" LIBERACION RES DESVIAC DE SINIESTRAL";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000104025";" LIBERACION RESERVAS ESPECIALES";"TOTAL";0;3540851897;3942604273;4104405213;4877104297;5077104297;5077104297;5659020927;5940807290;5957981801;6460512124;6704216534;3070730894;5174319275;5456421380;6787847286;6787847286;6787847286;8555201338;8855201338;8855201338;9055201338;35803124737;35803124737
"29000104026";"LIBERACION RESERVA DE RIESGO CATASTROFIC";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000104030";" CONST RESERVA MATEMAT RIESG PROFES";"TOTAL";-199774607;-381449720;-600641630;-804134109;-1010195955;-1054412460;-1282890754;-1542443254;-1767145759;-1792790612;-1792790612;-1748951226;-68965416;-206381103;-355347898;-505573100;-657397051;-604058852;-690267647;-765229958;-819772842;-895626891;-899654166;-953755954
"29000104035";" CONST RESERVA SINIESTROS AVISAD";"TOTAL";-7308436819;-16591435896;-52224542496;-56244679297;-60350118856;-65666551711;-68495258999;-74488086831;-74194065618;-71844987476;-77334751074;-51070257156;-13920343806;-15606856207;-25677755446;-29291268639;-37294828087;-42543884016;-47274291863;-51780895807;-51734882743;-53167980234;-54269333537;-56023115316
"29000104037";"CONSTITUCION RESERVA MAT BEEPS (RESTA)";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000104040";" CONST RESERVA SINIESTROS NO AVIS";"TOTAL";-397583565;-950244857;-1497295881;-4101047129;-4522705902;-5032764345;-5607360869;-6351165456;-7698645069;-8229255240;-8946829178;-9574344501;-533712043;-1679901769;-2032286408;-2295328639;-2591215169;-2942159585;-3501823018;-3708559642;-7051246559;-9300481992;-39872429965;-40394106781
"29000104045";" CONST RESERVA DESVIAC SINIESTRALID";"TOTAL";-659138409;-1417924698;-2169229113;-2905035922;-3649077041;-4515774942;-5230711877;-6026425795;-6860908271;-7629676620;-8461478013;-9404085232;-739779861;-1546405953;-2405952134;-3165560439;-4041555134;-4915491087;-5645065000;-6427880703;-7280224532;-8169070821;-9012680456;-9954026046
"29000104050";" CONST RESERVAS ESPECIALES";"TOTAL";0;0;-41171551;-74385324;-100219508;-114064398;-134091793;-137953382;-1736490299;-6097368153;-2815156319;-3232850764;-52021481;-1153880017;-1276784531;-2231668837;-2276583207;-2348069119;-2351534020;-2354388429;-2357771377;-2376605863;0;0
"29000104051";"CONST RESERVA DE RIESGO CATASTROFICO";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000104999";" SUBTOTAL";"TOTAL";-1379667059;-984776623;-6553460436;-8966780342;-10085263926;-11818602427;-13025774600;-18634820668;-19449940034;-20927231787;-21031034182;-22978621092;3733521956;6052153084;1858957788;142512579;-4330566798;-7306450957;-7830014457;-10238908272;-8112795467;-7930937247;-8976758686;-10270211204
"29000105005";"SINIESTROS LIQUIDADOS";"TOTAL";8174097134;19749292766;28634229897;39486669170;54337142424;71919989390;82692129618;92386990613;107120012588;116954500229;135636871003;150297617633;14364620720;27437760791;38072607434;49981627479;58952873289;71353350855;82134597394;95431538086;109203764952;121805094567;131887627351;143174725817
"29000105010";"SINIESTROS DE ACEP REASEG INTERIOR";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000105015";"SINIESTROS DE ACEP CONT NO PROPORC";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000105020";"SINIESTROS DE ACEP REASEG EXTERIOR";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000105025";"SINIESTROS DE ACEP CONTRAT NO PROP";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000105999";"SUBTOTAL";"TOTAL";8174097134;19749292766;28634229897;39486669170;54337142424;71919989390;82692129618;92386990613;107120012588;116954500229;135636871003;150297617633;14364620720;27437760791;38072607434;49981627479;58952873289;71353350855;82134597394;95431538086;109203764952;121805094567;131887627351;143174725817
"29000106005";"REEMB SINIESTROS SOB CESIONES REAS";"TOTAL";0;0;0;0;0;0;1150177392;1150177392;1150177392;1150177392;1150177392;1150177392;0;0;0;0;0;176011649;176011649;176011649;176011649;836315889;836315889;836315889
"29000106010";"REEMB SINIESTROS CONTR NO PROPORC";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000106015";"REEMB SINIESTROS SOB CESIONES REAS";"TOTAL";743662570;1292486919;2079499617;3462442705;4878583523;5316986683;6164267711;7239889575;9108449379;9469300377;10440618085;11090215148;384543363;877231058;1532123409;4543087091;5036613741;5569151550;6277855299;8536916519;9616883585;11265946815;11677652658;12118295810
"29000106020";"REEMB SINIESTROS CONTR NO PROPORC";"TOTAL";0;4;4;164000004;1551500004;1569704360;1605881967;1605881969;2118524325;2476277867;6449567425;6740345688;7500000;20154383;20154383;69166073;69166073;69166073;69166073;669166073;669166073;684657775;684657775;889061238
"29000106025";"REEMB STROS GARANTIZ X LA NACION RGOS";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000106030";"REEMB POR ENFERMEDAD PROFESIONAL";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000106999";"SUBTOTAL";"TOTAL";743662570;1292486923;2079499621;3626442709;6430083527;6886691043;8920327070;9995948936;12377151096;13095755636;18040362902;18980738228;392043363;897385441;1552277792;4612253164;5105779814;5814329272;6523033021;9382094241;10462061307;12786920479;13198626322;13843672937
"29000107005";" SALVAMENTOS DE ACEP REAS INTERIOR";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000107010";" SALVAMENTOS DE ACEP REAS EXTERIOR";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000107015";" SALVAMENTOS LIQUIDADOS Y REALIZADOS";"TOTAL";0;10440000;11474483;11474483;13814483;15014483;23688965;24447241;24447241;24927241;99330689;176037586;60583529;69407058;77988868;77988868;77893108;77893108;82935124;85335124;85335124;85335124;86535124;87735124
"29000107020";" RECOBROS";"TOTAL";0;441454420;441454420;441454420;453152664;453386528;453386528;453386528;453585252;453585252;989646856;1552184723;0;0;0;0;0;0;0;0;0;15260000;15260000;15260000
"29000107025";" GTOS SALVAM PARTE REASEG INTERIOR";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000107030";" GTOS SALVAM PARTE REASEG EXTERIOR";"TOTAL";0;-441454420;-441454420;-441454420;-441454420;-441454420;-441454420;-441454420;-441454420;-441454420;-945976646;-1508514513;0;0;0;0;0;0;0;0;0;0;0;0
"29000107999";" SUBTOTAL";"TOTAL";0;10440000;11474483;11474483;25512727;26946591;35621073;36379349;36578073;37058073;143000899;219707796;60583529;69407058;77988868;77988868;77893108;77893108;82935124;85335124;85335124;100595124;101795124;102995124
"29000108999";"SINIESTROS CTA COMPANIA";"TOTAL";-8810101623;-19431142466;-33096716229;-44815532320;-57966810096;-76824954183;-86761956075;-100989482996;-114156223453;-124748918307;-138484541384;-154075792701;-10178471872;-20418815208;-34583382986;-45148872868;-58099767165;-72767579432;-83358643706;-96203016993;-106769163988;-116848516211;-127563964591;-139498268960
"29000109005";"COMISIONES REASEGURO CEDIDO";"TOTAL";515466759;1072815002;1683713824;2211771543;2993662870;3611863369;4318562900;5052891059;5767393564;6495530342;7163815157;8336738181;401029354;922131845;1817101202;2396236961;3243774578;3713215099;4401653620;5430145825;6514382398;7451400049;8197138916;8883108449
"29000109010";"INGRESOS EXCESO DE PERDIDA";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000109015";"PARTICIP UTILIDADES REASEG CEDIDO";"TOTAL";0;0;614278238;614278238;614278238;614278238;614278238;614278238;614278238;614278238;614278238;614278238;0;0;445432394;445432394;445432394;445432394;445432394;445432394;445432394;445432394;445432394;445432394
"29000109020";"INT Y GTOS RECONOCIDOS X REASEGUR";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000109025";"INTER RECON A REASEGURADORES";"TOTAL";-8498384;-17159206;-30119804;-39741812;-50822431;-50080502;-61478904;-71670627;-79489546;-93637757;-106416588;-115691551;-10780952;-18959466;-26869018;-34581589;-44715455;-45548040;-58088084;-71767991;-74873591;-85195225;-108236056;-125818508
"29000109030";"PARTICIPAC UTILIDADES Y OTROS";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;-80202394;-80202394;-86865185;-131318273;-131318273;-131318273;-131318273;-131318273;-131318273;-131318273;-132945279;-132945279
"29000109035";"COSTO EXCESO DE PERDIDA";"TOTAL";-2020085697;-3910327609;-6274048004;-8568630773;-10931311667;-13231180331;-15572896638;-17924974361;-20200915077;-22480060361;-25110596071;-27954677860;-2406887355;-4791689662;-7320737146;-9978531365;-12774728074;-15736649339;-18367953784;-21245845364;-23796447762;-26412201431;-28977905501;-32096315909
"29000109999";"SUBTOTAL";"TOTAL";-1513117322;-2854671813;-4006175746;-5782322804;-7374192990;-9055119226;-10701534404;-12329475691;-13898732821;-15463889538;-17438919264;-19119352992;-2096841347;-3968719677;-5171937753;-7302761872;-9261554830;-11754868159;-13710274127;-15573353409;-17042824834;-18731882486;-20576515526;-23026538853
"29000110005";"OTROS PRODUCTOS DE SEGUROS";"TOTAL";58037096;865336772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000110010";"REMUNERACION DE ADMON DE COASEG";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000110015";"GTOS DE ADMON COASEG ACEPTADO";"TOTAL";-4543842;-16112612;-32636226;-44826013;-62655734;-75184118;-84237628;-89239878;-94082915;-98344335;-118292005;-127962305;-19049476;-27731574;-68086736;-120438636;-125469057;-150787675;-229981918;-269051454;-287794647;-332844716;-369377565;-394732144
"29000110020";"PROV CTAS POR COBRAR ACTIVIDAD ASEG";"TOTAL";-28817928;-741354184;-890298614;-879817094;-1038440942;-1044205705;-791026663;-693903846;-871905134;-1806090962;-2080570240;-2253475913;-666548523;-1080378580;-1834061103;-2053516907;-2505909108;-2584575368;-3685409261;-2501174676;-3320049232;-2568492977;-4024843241;-1867935221
"29000110025";"CTOS RIESGOS PROFESIONALES";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000110030";"CONTRIBUCIONES DE SEGUROS";"TOTAL";-82668496;-178140197;-271608437;-360962472;-452985405;-573919960;-661518298;-760387845;-863451635;-958643939;-1058917597;-1189021680;-95213214;-195363646;-307614115;-401038680;-518827590;-626854205;-718058937;-817055744;-928990344;-1036356115;-1138188654;-1269279380
"29000110035";"OTROS EGRESOS";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000110999";"SUBTOTAL";"TOTAL";-57993170;-70270221;-1194543277;-1285605579;-1554082081;-1693309783;-1536782589;-1543531569;-1829439684;-2863079236;-3257779842;-3570459898;-780811213;-1303473800;-2209761954;-2574994223;-3150205755;-3362217248;-4633450116;-3587281874;-4536834223;-3937693808;-5532409460;-3531946745
"29000111005";"ELIMINADA";"TOTAL";2045086122;3970739712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000111010";"ELIMINADA";"TOTAL";1229846433;2565542458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000111015";"GASTOS DE ADMINISTRACION DIRECTOS RAMO";"TOTAL";0;0;1031233704;1428667488;1791421594;2193277533;2549107938;3084041803;3488635111;3901051588;4365320775;4827579151;350234376;744962139;1217596726;1612023340;2030936832;2829472553;3206499090;5419520874;5890094371;7911726495;8583525584;8740396106
"29000111020";"GASTOS DEPERSONAL DIRECTOS RAMO";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000111025";"GASTOS DE ADM INDIREC ASIGN A CADA  RAMO";"TOTAL";0;0;4782020434;6130344839;7975977558;9374674700;11066348677;12734199903;14128785966;15726340359;17371012351;19181057195;1897424784;3827067333;5820116514;7169254036;8951617864;10607872665;12667420377;15491237901;16906099696;19783846550;21780234100;24028021783
"29000111030";"GASTOS DE PERSO INDI ASIGNAB A CADA RAMO";"TOTAL";0;0;3997026291;5294323251;6603552914;7808646701;9053979257;10208589392;11291817951;12516940686;13739857285;14869753063;1338300532;3013870366;4382461513;5712651595;7062527650;8447075569;9803689792;11025692488;12853892375;14218625002;15506566080;16838352609
"29000111999";"SUBTOTAL";"TOTAL";3274932555;6536282170;9810280429;12853335578;16370952066;19376598934;22669435872;26026831098;28909239028;32144332633;35476190411;38878389409;3585959692;7585899838;11420174753;14493928971;18045082346;21884420787;25677609259;31936451263;35650086442;41914198047;45870325764;49606770498
"29000112005";"REMUNERACION A FAVOR DE INTERMEDIA";"TOTAL";497502415;1097389429;1753062417;2291726200;2987837004;3966158815;4502670749;5523909336;6395121728;7253941170;8132282328;9492972453;479886161;1207879264;1963358913;2424974641;3062920752;3668742499;4320834599;4850305521;5726338300;6619360478;8240404602;8381154874
"29000112010";"COMISIONES AFP";"TOTAL";0;0;23711622;23711622;23711622;23711622;23711622;23711622;23711622;23711622;23711622;23711622;0;0;0;0;0;0;0;0;0;0;0;0
"29000112015";"ELIMINADA";"TOTAL";6255094701;13104522621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000112020";"GASTOS EN TARIFACION";"TOTAL";0;0;176308152;255195399;336441164;413761036;494571698;571962048;639790448;715549381;796314458;879395023;78222776;151942419;229929887;290877916;385122461;486387503;575747439;673637621;769518116;864524337;963782668;1061207360
"29000112025";"REMU POR USO DE RED Y A CANA DE COMERC";"TOTAL";0;0;20117225484;27369675133;34476216441;43705656029;50768571887;58138671910;66293584536;74048000353;82396245004;89892215524;6537191860;12280636647;21336155449;28421072199;36584516584;45835209181;52791138098;61189330022;70355200289;79251481099;88197941309;93925285871
"29000112030";"PAPELERIA Y GASTOS DE ENTREGA";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000112999";"SUBTOTAL";"TOTAL";6752597116;14201912050;22070307675;29940308354;37824206231;48109287502;55789525956;64258254916;73352208334;82041202526;91348553412;100288294622;7095300797;13640458330;23529444249;31136924756;40032559797;49990339183;57687720136;66713273164;76851056705;86735365914;97402128579;103367648105
"29000113999";"Ys Y-O GTOS NETOS REASEG, ADMIN Y PERSON";"TOTAL";-11598640163;-23663136254;-37081307127;-49861572315;-63123433368;-78234315445;-90697278821;-104158093274;-117989619867;-132512503933;-147521442929;-161856496921;-13558913049;-26498551645;-42331318709;-55508609822;-70489402728;-86991845377;-101709053638;-117810359710;-134080802204;-151319140255;-169381379329;-179532904201
"29000114999";"RESULTADO TECNICO";"TOTAL";1115284477;1375254921;-2236966043;-3249455194;-5254948191;-9422974393;-7647551141;-9740431623;-10701851814;-6661650622;-4862965831;-1853877261;-450337579;-12725268;-3136344159;1108667920;3511337491;7948397718;13283540039;16256339817;23606513875;31092678441;37527433115;39315436905
"29000115005";"ELIMINADA";"TOTAL";11680264723;24291870010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000115010";"OTRAS PROVISIONES";"TOTAL";0;0;0;0;0;-27876978;-27876978;-27876978;-72239659;-69136134;-66328215;-55790468;0;0;-22554707;-22554707;0;0;0;0;-492747;-467340;0;0
"29000115015";"Ys Y-O EGRESOS REPORTES PROG ESPEC";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000115020";"OTROS INGRESOS Y EGRESOS";"TOTAL";-348955643;-408093381;4441413981;12695849484;13728670523;15519347921;15834895506;16873935840;17846611198;17762689101;18567989016;18916477742;972406614;3677289406;5668008862;7759663964;8500452904;9252530814;9718123454;10240524282;10708272329;11855007605;13605524204;12450164221
"29000115025";"ING REALI DE ACT V RAZ RESP LAS RES TECN";"TOTAL";0;0;35554039551;48281957290;60415668636;71414333367;82758854867;93424703727;102387236446;109790179439;118614163184;125728380404;8522257839;18403737797;30726987306;40528809466;49398710501;66670065483;75076833248;83301710196;89749422737;98825104398;104472517820;110500191141
"29000115030";"ING CAUS ACT A CORT AMORT RESP RE TEC";"TOTAL";0;0;18608991282;24707149229;31343966876;42311364281;49612798740;56407461989;64985336993;77257289859;88974727968;95777806508;11488534245;19900889318;31127383054;39127129088;49416735625;59129406943;67469919571;74486254363;81842603419;89507806754;97872235389;105322952826
"29000115035";"ING Y EGRE PORT DE INV DIF A RESER TECNI";"TOTAL";0;0;5793021730;9204836333;6568070542;11941669436;10689491227;14700374465;17554218730;16820212851;15932342669;18776171883;2355469958;3572039460;5704719343;5719811278;7076754793;4821938536;5930113390;8255846292;8991456468;8633738300;10121189954;11044517778
"29000115040";"EGRE INVER DE LAS RESERNAS TECNICAS";"TOTAL";0;0;-17884246501;-24934455570;-27852505117;-37895484173;-43343155224;-52647113782;-61467233834;-68805795639;-81214428000;-88665468359;-8864315699;-18168362472;-27039371637;-31395406999;-36289691349;-44874653750;-54325562032;-60386178489;-64666245670;-70602894779;-76195091984;-82789936941
"29000115045";"OTROS GASTOS DE ADMIN Y PERS NO ASIG";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000115999";"SUBTOTAL";"TOTAL";11331309080;23883776629;46513220043;69955336766;84203871460;103263353854;115525008138;128731485261;141233929874;152755439477;160808466622;170477577710;14474352957;27385593509;46165172221;61717452090;78102962474;94999288026;103869427631;115898156644;126625016536;138218294938;149876375383;156527889025
"29000116999";"UTILIDAD ANTES DE IMPUESTOS";"TOTAL";12446593557;25259031550;44276254000;66705881572;78948923269;93840379461;107877456997;118991053638;130532078060;146093788855;155945500791;168623700449;14024015378;27372868241;43028828062;62826120010;81614299965;102947685744;117152967670;132154496461;150231530411;169310973379;187403808498;195843325930
