Cuenta;Nombre_cuenta;Ramo;31/01/2016;29/02/2016;31/03/2016;30/04/2016;31/05/2016;30/06/2016;31/07/2016;31/08/2016;30/09/2016;31/10/2016;30/11/2016;31/12/2016;31/01/2017;28/02/2017;31/03/2017;30/04/2017;31/05/2017;30/06/2017;31/07/2017;31/08/2017;30/09/2017;31/10/2017;30/11/2017;31/12/2017;31/01/2018
29000101999;SUBTOTAL;TOTAL; 8,195,329,865   ; 15,087,919,345   ; 21,350,721,579   ; 30,210,636,943   ; 36,240,373,049   ; 42,540,139,902   ; 50,075,819,203   ; 55,627,275,344   ; 60,082,149,697   ; 63,081,380,759   ; 340,784,552,424   ; 390,762,777,297   ; 32,088,629,563   ; 60,615,840,763   ; 100,728,240,664   ; 140,095,910,452   ; 174,056,110,498   ; 212,594,904,072   ; 241,962,457,839   ; 277,136,207,952   ; 327,822,872,577   ; 365,842,725,168   ; 410,130,320,492   ; 448,477,419,258   ; 44,752,375,336   
29000102005;ELIMINADA;TOTAL; 4,123,922,093   ; 7,659,053,372   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000102006;LIBERAC RESER TEC DE PRIMA NO DEVENGADA;TOTAL; -     ; -     ; 11,118,446,934   ; 13,826,267,110   ; 16,332,596,082   ; 18,021,901,710   ; 19,470,296,100   ; 20,709,313,892   ; 21,601,179,727   ; 22,336,962,842   ; 86,187,965,355   ; 88,318,940,216   ; 24,363,133,412   ; 43,110,178,468   ; 60,618,869,581   ; 127,801,462,795   ; 124,958,348,174   ; 133,650,855,917   ; 141,681,718,670   ; 148,848,766,603   ; 154,448,819,435   ; 158,941,406,164   ; 161,648,575,384   ; 160,876,914,159   ; 21,906,492,176   
29000102007;LIBERAC RESER TEC POR INSUFICIE DE PRIMA;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 956,265,970   
29000102010;LIBERACION RESERVA MATEMATICA;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000102015;LIBERACION RES MAT RIESGOS PROFESI;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000102017;LIBERACION RESERVA BEEPS(RESTA);TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000102020;LIBERACION RES SEG VIDA AHORRO CON;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000102022;LIBERAC RESER TEC DE INSUFICI DE ACTIVOS;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000102025;ELIMINADA;TOTAL; 3,950,520,780   ; 6,191,636,810   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000102026;CONSTI RESER TEC DE PRIMA NO DEVENGADA;TOTAL; -     ; -     ;-7,617,894,834   ;-11,069,847,675   ;-11,780,755,892   ;-12,630,390,340   ;-13,293,547,675   ;-13,207,051,266   ;-13,220,147,241   ;-12,302,074,001   ;-121,180,570,669   ;-135,791,413,488   ;-21,994,204,143   ;-34,927,767,683   ;-52,869,676,707   ;-70,285,184,100   ;-81,919,298,344   ;-96,812,212,064   ;-104,012,122,883   ;-112,045,384,487   ;-124,384,250,032   ;-130,516,794,058   ;-155,298,622,305   ;-148,738,054,572   ;-28,294,841,136   
29000102027;CONSTI RESER TEC POR INSUFICIE DE PRIMA;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;-15,584,829,100   ;-16,208,586,580   ;-16,588,426,684   ;-20,055,537,391   ;-19,671,815,596   ;-19,652,387,962   ;-19,840,206,596   ; -     ;-17,054,760,543   ;-3,681,151,288   
29000102030;CONST RESERVA MATEMATICA;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000102035;CONST RES MAT RIESGOS PROFESIONALES;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000102037;CONSTITUCION RESERVA MATEMA BEEPS;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000102040;CONST RES SEG VIDA AHORRO CON PARTI;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000102045;CONSTITU RESER DE INSUFICIEN DE ACTIVOS;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000102999;SUBTOTAL;TOTAL; 173,401,313   ; 1,467,416,562   ; 3,500,552,100   ; 2,756,419,435   ; 4,551,840,190   ; 5,391,511,371   ; 6,176,748,425   ; 7,502,262,626   ; 8,381,032,486   ; 10,034,888,842   ;-34,992,605,314   ;-47,472,473,272   ; 2,368,929,269   ; 8,182,410,785   ; 7,749,192,874   ; 41,931,449,595   ; 26,830,463,250   ; 20,250,217,169   ; 17,614,058,396   ; 17,131,566,520   ; 10,412,181,441   ; 8,584,405,510   ; 6,349,953,079   ;-4,915,900,956   ;-9,113,234,278   
29000103999;PRIMAS DEVENGADAS;TOTAL; 8,368,731,179   ; 16,555,335,907   ; 24,851,273,679   ; 32,967,056,379   ; 40,792,213,239   ; 47,931,651,272   ; 56,252,567,628   ; 63,129,537,969   ; 68,463,182,183   ; 73,116,269,600   ; 305,791,947,110   ; 343,290,304,025   ; 34,457,558,832   ; 68,798,251,548   ; 108,477,433,538   ; 182,027,360,047   ; 200,886,573,748   ; 232,845,121,241   ; 259,576,516,235   ; 294,267,774,472   ; 338,235,054,018   ; 374,427,130,678   ; 416,480,273,571   ; 443,561,518,302   ; 35,639,141,058   
29000104005; LIBERACION RES MAT RIESGOS PROFESIO;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000104007;LIBERACION RES MATEMATICA BEEPS;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000104010; LIBERACION RES PARA SINIESTROS AVISA;TOTAL; 21,367,413,705   ; 21,321,329,072   ; 21,271,124,236   ; 21,249,790,399   ; 21,365,294,990   ; 20,897,631,160   ; 20,825,467,358   ; 22,580,650,508   ; 22,677,381,259   ; 22,564,071,259   ; 35,910,444,386   ; 34,605,762,942   ; 27,353,586,062   ; 29,679,975,713   ; 33,658,319,581   ; 32,741,997,490   ; 34,354,938,648   ; 36,710,412,637   ; 39,437,890,366   ; 42,740,276,443   ; 43,940,016,837   ; 45,159,004,681   ; 46,211,065,367   ; 48,338,640,137   ; 36,572,891,444   
29000104015; LIBERACION RES PARA SINIESTROS NO AVIS;TOTAL; 3,265,385,635   ; 4,732,859,635   ; 8,263,015,071   ; 10,844,442,845   ; 10,844,442,845   ; 14,531,211,353   ; 21,849,222,769   ; 24,951,350,307   ; 30,390,557,496   ; 34,579,528,034   ; 58,933,134,379   ; 58,933,134,379   ; 635,436,869   ; 654,550,644   ; 654,550,644   ; 4,294,474,533   ; 4,294,474,533   ; 4,294,474,533   ; 4,315,208,603   ; 4,346,762,703   ; 4,347,656,156   ; 5,859,771,398   ; 5,863,112,746   ; 5,979,009,300   ; 95,949,126   
29000104020; LIBERACION RES DESVIAC DE SINIESTRAL;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000104025; LIBERACION RESERVAS ESPECIALES;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 6,000,000,000   ; 6,000,000,000   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000104026;LIBERACION RESERVA DE RIESGO CATASTROFIC;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000104030; CONST RESERVA MATEMAT RIESG PROFES;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000104035; CONST RESERVA SINIESTROS AVISAD;TOTAL;-22,168,221,502   ;-21,409,813,299   ;-21,662,678,989   ;-21,578,101,434   ;-21,621,684,294   ;-21,081,117,360   ;-21,129,012,568   ;-19,929,188,709   ;-20,726,683,979   ;-21,422,591,375   ;-42,954,870,975   ;-43,854,583,354   ;-24,388,856,701   ;-27,622,645,712   ;-31,963,377,141   ;-35,303,678,081   ;-39,098,323,732   ;-44,604,330,784   ;-48,367,710,262   ;-48,479,522,582   ;-47,412,907,815   ;-53,377,785,842   ;-60,150,145,159   ;-67,730,740,668   ;-36,598,276,692   
29000104037;CONSTITUCION RESERVA MAT BEEPS (RESTA);TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000104040; CONST RESERVA SINIESTROS NO AVIS;TOTAL;-3,117,595,618   ;-4,802,259,468   ;-6,410,699,313   ;-11,443,955,403   ;-11,443,955,403   ;-14,322,230,980   ;-20,286,143,592   ;-25,504,657,200   ;-29,143,279,144   ;-31,282,867,181   ;-65,454,195,512   ;-64,999,825,085   ;-2,368,078,589   ;-2,329,305,476   ;-2,323,134,767   ;-3,158,066,282   ;-3,266,183,342   ;-3,790,676,406   ;-6,172,065,011   ;-6,052,293,050   ;-5,357,614,483   ;-8,315,678,910   ;-8,812,615,955   ;-9,053,624,918   ;-423,804,159   
29000104045; CONST RESERVA DESVIAC SINIESTRALID;TOTAL;-50,485,485   ;-78,979,129   ;-107,490,923   ;-146,456,470   ;-176,166,280   ;-202,903,036   ;-257,095,679   ;-275,622,082   ;-296,962,058   ;-323,838,468   ;-9,270,639,831   ;-11,734,169,314   ;-1,868,562,333   ;-4,141,177,234   ;-5,894,536,326   ;-7,484,265,668   ;-9,185,948,325   ;-11,149,998,489   ;-13,324,812,719   ;-15,706,214,778   ;-18,017,343,742   ;-20,718,297,808   ;-24,015,581,778   ;-27,075,686,956   ;-4,148,119,231   
29000104050; CONST RESERVAS ESPECIALES;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000104051;CONST RESERVA DE RIESGO CATASTROFICO;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000104999; SUBTOTAL;TOTAL;-703,503,265   ;-236,863,190   ; 1,353,270,082   ;-1,074,280,062   ;-1,032,068,142   ;-177,408,862   ; 1,002,438,288   ; 1,822,532,823   ; 2,901,013,574   ; 4,114,302,269   ;-16,836,127,553   ;-21,049,680,432   ;-636,474,692   ;-3,758,602,065   ;-5,868,178,009   ;-8,909,538,008   ;-12,901,042,218   ;-18,540,118,509   ;-24,111,489,023   ;-23,150,991,264   ;-22,500,193,047   ;-31,392,986,481   ;-40,904,164,779   ;-49,542,403,105   ;-4,501,359,512   
29000105005;SINIESTROS LIQUIDADOS;TOTAL; 5,939,790,540   ; 15,153,745,059   ; 22,746,097,604   ; 31,227,361,657   ; 45,412,192,312   ; 53,041,167,747   ; 61,619,217,028   ; 81,143,824,147   ; 88,582,811,738   ; 94,743,610,814   ; 176,134,250,117   ; 206,703,613,074   ; 20,099,921,088   ; 32,714,965,995   ; 49,355,943,765   ; 62,692,807,127   ; 80,075,792,898   ; 97,892,083,675   ; 115,196,655,321   ; 135,698,672,200   ; 147,521,850,147   ; 165,831,494,016   ; 186,324,643,798   ; 203,617,239,338   ; 14,656,758,139   
29000105010;SINIESTROS DE ACEP REASEG INTERIOR;TOTAL; 455,653,936   ; 837,172,152   ; 1,227,423,231   ; 1,692,881,606   ; 2,586,159,014   ; 2,874,871,895   ; 3,407,542,047   ; 4,826,422,884   ; 5,051,464,724   ; 5,108,663,663   ; 5,564,735,396   ; 5,991,640,500   ; 1,171,756,539   ; 1,538,717,350   ; 2,322,771,651   ; 2,326,314,256   ; 3,168,137,304   ; 6,024,487,723   ; 6,128,959,930   ; 6,623,938,082   ; 12,270,917,081   ; 13,868,378,720   ; 14,754,432,470   ; 15,978,922,665   ; 234,378,165   
29000105015;SINIESTROS DE ACEP CONT NO PROPORC;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 20,369,408   ; 20,369,408   ; 28,316,535   ; 114,420,265   ; 291,337,755   ; 324,351,638   ; 324,351,638   ; 6,199,822   
29000105020;SINIESTROS DE ACEP REASEG EXTERIOR;TOTAL; 5,710,272   ; 60,455,982   ; 970,587,229   ; 1,246,878,871   ; 1,433,579,122   ; 1,719,829,763   ; 1,749,974,191   ; 2,175,438,964   ; 2,529,984,090   ; 2,530,629,156   ; 2,756,263,822   ; 2,757,494,176   ; 1,477,622,085   ; 1,484,036,063   ; 1,763,065,145   ; 3,328,523,987   ; 3,328,523,987   ; 3,386,516,531   ; 3,386,516,531   ; 3,433,871,407   ; 3,433,871,407   ; 3,433,871,407   ; 3,674,158,738   ; 3,690,028,974   ; 5,155,552   
29000105025;SINIESTROS DE ACEP CONTRAT NO PROP;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 122,093,200   ; 122,093,200   ; 40,164,407   ; 40,164,407   ; 40,164,407   ; 49,778,850   ; 49,778,850   ; 49,778,850   ; 49,778,850   ; 49,778,850   ; 49,778,850   ; 49,778,850   ; 49,778,850   ; 49,778,850   ; -     
29000105999;SUBTOTAL;TOTAL; 6,401,154,749   ; 16,051,373,193   ; 24,944,108,065   ; 34,167,122,134   ; 49,431,930,448   ; 57,635,869,405   ; 66,776,733,265   ; 88,145,685,996   ; 96,164,260,553   ; 102,382,903,632   ; 184,577,342,535   ; 215,574,840,950   ; 22,789,464,119   ; 35,777,883,815   ; 53,481,944,968   ; 68,397,424,220   ; 86,622,233,039   ; 107,373,236,187   ; 124,782,280,040   ; 145,834,577,074   ; 163,390,837,750   ; 183,474,860,748   ; 205,127,365,494   ; 223,660,321,465   ; 14,902,491,678   
29000106005;REEMB SINIESTROS SOB CESIONES REAS;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000106010;REEMB SINIESTROS CONTR NO PROPORC;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000106015;REEMB SINIESTROS SOB CESIONES REAS;TOTAL; 2,580,931,774   ; 7,520,951,125   ; 11,725,064,263   ; 16,509,466,241   ; 25,049,369,089   ; 28,488,884,115   ; 33,859,312,121   ; 47,738,303,499   ; 51,630,501,415   ; 54,681,588,047   ; 72,237,228,330   ; 90,001,856,308   ; 11,738,021,247   ; 16,847,139,873   ; 24,085,062,207   ; 30,755,456,260   ; 37,342,462,917   ; 44,867,285,443   ; 51,102,040,960   ; 61,052,000,509   ; 70,232,624,530   ; 78,410,607,023   ; 87,562,178,076   ; 92,570,554,337   ; 4,050,327,778   
29000106020;REEMB SINIESTROS CONTR NO PROPORC;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 5,327,271,565   ; 5,446,952,759   ; 64,290,395   ; 150,216,307   ; 209,489,787   ; 315,500,165   ; 688,031,155   ; 711,170,174   ; 771,916,713   ; 1,806,797,532   ; 1,854,108,780   ; 1,880,071,502   ; 2,953,662,888   ; 3,058,599,240   ; 4,969,131,135   
29000106025;REEMB STROS GARANTIZ X LA NACION RGOS;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000106030;REEMB POR ENFERMEDAD PROFESIONAL;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000106999;SUBTOTAL;TOTAL; 2,580,931,774   ; 7,520,951,125   ; 11,725,064,263   ; 16,509,466,241   ; 25,049,369,089   ; 28,488,884,115   ; 33,859,312,121   ; 47,738,303,499   ; 51,630,501,415   ; 54,681,588,047   ; 77,564,499,895   ; 95,448,809,067   ; 11,802,311,642   ; 16,997,356,180   ; 24,294,551,994   ; 31,070,956,425   ; 38,030,494,072   ; 45,578,455,617   ; 51,873,957,673   ; 62,858,798,041   ; 72,086,733,310   ; 80,290,678,525   ; 90,515,840,964   ; 95,629,153,577   ; 9,019,458,913   
29000107005; SALVAMENTOS DE ACEP REAS INTERIOR;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000107010; SALVAMENTOS DE ACEP REAS EXTERIOR;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000107015; SALVAMENTOS LIQUIDADOS Y REALIZADOS;TOTAL; 28,649,625   ; 82,477,149   ; 217,774,380   ; 249,734,700   ; 257,821,597   ; 270,491,853   ; 274,896,680   ; 288,924,400   ; 301,247,263   ; 335,797,635   ; 628,002,410   ; 656,698,152   ; 40,336,134   ; 41,480,100   ; 141,920,100   ; 196,760,436   ; 175,933,881   ; 175,933,881   ; 330,283,589   ; 346,418,043   ; 461,376,279   ; 583,022,546   ; 771,813,183   ; 776,014,864   ; 29,296,311   
29000107020; RECOBROS;TOTAL; 5,966,082   ; 9,619,082   ; 456,813,481   ; 474,241,825   ; 552,479,910   ; 702,070,859   ; 1,098,827,082   ; 1,298,827,082   ; 1,360,834,806   ; 1,423,879,738   ; 1,952,356,320   ; 2,577,750,399   ; 150,000,000   ; 200,000,000   ; 477,138,061   ; 902,816,803   ; 1,061,865,659   ; 1,229,191,553   ; 1,229,881,006   ; 1,953,406,543   ; 2,632,742,392   ; 1,964,396,856   ; 2,316,823,369   ; 2,618,457,697   ; 65,839,066   
29000107025; GTOS SALVAM PARTE REASEG INTERIOR;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
29000107030; GTOS SALVAM PARTE REASEG EXTERIOR;TOTAL;-27,839,660   ;-76,878,529   ;-543,139,246   ;-582,650,178   ;-651,710,163   ;-781,519,127   ;-1,138,646,781   ;-1,329,868,956   ;-1,389,455,638   ;-1,467,531,881   ;-1,931,030,748   ;-2,039,853,772   ;-167,268,908   ;-213,184,080   ;-542,960,335   ;-808,395,401   ;-930,059,450   ;-1,074,748,274   ;-1,193,342,611   ;-1,240,628,325   ;-1,953,143,717   ;-2,055,122,766   ;-2,508,367,149   ;-2,568,136,376   ;-74,884,739   
